q,tau,trainingMSE,meanHistoryNIS,nForecasts
1e-05,10,0.118375535314706,27.1101929827545,360
0.001,10,0.119974443298077,8.80640269505489,360
1e-05,30,0.120802984022316,26.5299709387128,360
0.0001,10,0.126403276456569,15.4373653410355,360
0.0001,3,0.131350771057107,16.450716969575,360
1e-06,30,0.132835601404328,49.8751284331907,360
1e-05,60,0.136971936773886,26.4589250802905,360
0.0001,30,0.138174735852828,15.2949430385761,360
0.001,1,0.140248848532831,10.5300365981437,360
1e-06,60,0.14146450839643,49.5163873167952,360
0.001,3,0.14206628424569,9.08887292439418,360
0.001,60,0.152028544031942,8.73497416631944,360
1e-06,10,0.153368037320589,53.4385417842738,360
0.001,30,0.158805861132111,8.74800791650513,360
1e-05,3,0.16041146013769,32.7430901326918,360
0.0001,60,0.162834795103424,15.2697016299844,360
0.0001,1,0.165801315865675,23.3262908110112,360
1e-06,Inf,0.174297009594812,49.3730377242205,360
0.0001,Inf,0.1747038369265,15.2486145511896,360
1e-05,Inf,0.186384036350727,26.4175957257686,360
0.001,Inf,0.187782150105408,8.72256782174156,360
1e-06,3,0.205264886169677,90.2315816870164,360
1e-05,1,0.20628536995342,73.198667777661,360
1e-06,1,0.245085206042793,324.770782230014,360
