seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
51,all,original,19,100,1,0.163084112305651,0.470524490942407,0.317607005579973,0,1,0
51,all,original,19,100,1,0.23693799272213,0.484830087467707,0.31766517130877,0,1,0
51,all,original,19,100,1,0.275100010454985,0.540340849642064,0.308568358177509,0,1,0
51,all,original,19,100,1,0.347688733061454,0.593506709067654,0.289934988623823,0,1,0
51,all,original,19,100,1,0.368649279067031,0.515647776448778,0.263771115423867,0,1,0
51,all,original,19,100,1,0.298439961373385,0.415739746858711,0.236601803492625,0,1,0
51,all,original,19,100,1,0.1708130900713,0.460832189829794,0.219856898251103,0,1,0
51,all,original,19,100,1,0.19705294021191,0.508432535308967,0.211985899176764,0,1,0
51,all,original,19,100,1,0.270074002413681,0.498339695881718,0.202389979042519,0,1,0
51,all,original,19,100,1,0.345503951846718,0.493442210613966,0.188165508968632,0,1,0
51,all,original,19,100,1,0.328639367612784,0.517836404060794,0.171437081998265,0,1,0
51,all,original,19,100,1,0.313453817504783,0.460836592086445,0.161521312941071,0,1,0
51,all,original,19,100,1,0.266462172753793,0.334493474670551,0.159857127761601,0,1,0
51,all,original,19,100,1,0.171128253764673,0.409484908775631,0.164088138459331,0,1,0
51,all,original,19,100,1,0.133645357706793,0.437745176163282,0.169073432282847,0,1,0
51,all,original,19,100,1,0.223943718187993,0.45137232096433,0.165186893323657,0,1,0
51,all,original,19,100,1,0.377830556072736,0.449468625693739,0.158792289197288,0,1,0
51,all,original,19,100,1,0.600887419208276,0.636150666817676,0.158096784680776,1,1,1
51,all,original,19,100,1,0.718558753272015,0.71025653312496,0.158014548599744,1,1,1
51,all,original,19,100,1,0.824791498551057,0.834071573692434,0.162750662519691,1,1,1
51,all,original,19,300,1,0.225040705160922,0.498565142684059,0.314613511688751,0,1,0
51,all,original,19,300,1,0.338259324500623,0.508298077458381,0.263435969180105,0,1,0
51,all,original,19,300,1,0.21264667756563,0.489201473673493,0.211410925490129,0,1,0
51,all,original,19,300,1,0.329199045654761,0.490705068920402,0.173707967969323,0,1,0
51,all,original,19,300,1,0.190411928075086,0.393907853203155,0.164339566167926,0,1,0
51,all,original,19,300,1,0.400887231156335,0.512330537825249,0.16069198906724,0,1,0
51,all,original,19,300,1,0.771675125911536,0.772164053408697,0.160382605559717,1,1,1
51,random,fixed-total,7,100,1,0.425599394430402,0.650803427984166,0.118937488107713,1,1,1
51,random,fixed-total,7,100,1,0.525373307590322,0.773931685137695,0.0964063599036572,1,1,1
