k,weightMode,strengthMode,metric,mean,min,max
7,equal,original,GO,0.16640050017423,0.0818701508702037,0.315598258973385
7,equal,original,LO,0.363497947317247,0.280217841524848,0.439749180632149
7,equal,original,distance,0.371343215631209,0.356572624628662,0.385154116119704
7,equal,original,amplitude,0.0840000000000005,0.0840000000000005,0.0840000000000005
7,equal,original,inputMass,0.0842227100276013,0.0842227100276013,0.0842227100276013
7,equal,original,distanceWeight,1,1,1
7,exponential,original,GO,0.180971681208884,0.0324838036793397,0.364983924087977
7,exponential,original,LO,0.360772855809254,0.272314833195873,0.452164115351562
7,exponential,original,distance,0.379842870753874,0.369040095811628,0.385713689946486
7,exponential,original,amplitude,0.0409306408775716,0.0405435902228372,0.0418996276369821
7,exponential,original,inputMass,0.0410391606889952,0.0406510838430465,0.0420107165325478
7,exponential,original,distanceWeight,0.487269534256804,0.482661788367109,0.498805090916454
7,equal,fixed-total,GO,0.623026337347929,0.350099864458499,0.995116649122424
7,equal,fixed-total,LO,0.754494228164355,0.550065071030663,0.995992946389991
7,equal,fixed-total,distance,0.117610937394639,0.0360602004256109,0.231249854236904
7,equal,fixed-total,amplitude,0.227999999999998,0.227999999999998,0.227999999999998
7,equal,fixed-total,inputMass,0.228604498646348,0.228604498646348,0.228604498646348
7,equal,fixed-total,distanceWeight,1,1,1
7,exponential,fixed-total,GO,0.652551073412032,0.328199129894183,0.984429377437184
7,exponential,fixed-total,LO,0.741497243993862,0.496989410245116,0.990988318285042
7,exponential,fixed-total,distance,0.11175296247699,0.0262891923805821,0.252955344917106
7,exponential,fixed-total,amplitude,0.227999999999998,0.227999999999998,0.227999999999998
7,exponential,fixed-total,inputMass,0.228604498646348,0.228604498646348,0.228604498646348
7,exponential,fixed-total,distanceWeight,0.828135459673062,0.637817681187477,0.955847018933171
15,equal,original,GO,0.699724776650971,0.56852758751932,0.826098681148245
15,equal,original,LO,0.810051979111841,0.682536858791537,0.895146672078928
15,equal,original,distance,0.164509523713448,0.084330552385994,0.254357366472355
15,equal,original,amplitude,0.180000000000002,0.180000000000002,0.180000000000002
15,equal,original,inputMass,0.180477235773433,0.180477235773433,0.180477235773433
15,equal,original,distanceWeight,1,1,1
15,exponential,original,GO,0.19664719042219,0.0574289374036073,0.367302921021331
15,exponential,original,LO,0.384008069519625,0.332898073333255,0.460224761080239
15,exponential,original,distance,0.38207395739905,0.379587800226627,0.388254255225733
15,exponential,original,amplitude,0.0873230138663488,0.0864685497257308,0.0877673875835396
15,exponential,original,inputMass,0.0875545342333536,0.0866978046435411,0.0880000861229589
15,exponential,original,distanceWeight,0.485127854813049,0.480380831809616,0.487596597686331
15,equal,fixed-total,GO,0.797525155967329,0.671402560372241,0.941828925645088
15,equal,fixed-total,LO,0.899571348387666,0.838444667561373,0.981433190393496
15,equal,fixed-total,distance,0.101639181576536,0.0749699344631836,0.148578954893348
15,equal,fixed-total,amplitude,0.227999999999998,0.227999999999998,0.227999999999998
15,equal,fixed-total,inputMass,0.228604498646348,0.228604498646348,0.228604498646348
15,equal,fixed-total,distanceWeight,1,1,1
15,exponential,fixed-total,GO,0.673756985623741,0.244092943971982,0.922032422653177
15,exponential,fixed-total,LO,0.819529882238324,0.580860508293208,0.950542797335199
15,exponential,fixed-total,distance,0.126784123734298,0.0677244106599674,0.218806333403286
15,exponential,fixed-total,amplitude,0.227999999999998,0.227999999999998,0.227999999999998
15,exponential,fixed-total,inputMass,0.228604498646348,0.228604498646348,0.228604498646348
15,exponential,fixed-total,distanceWeight,0.8087728599736,0.675549444275556,0.88847712551698
