seed,k,weightMode,strengthMode,GO,LO,distance,amplitude,inputMass,distanceWeight
131,7,equal,original,0.0818701508702037,0.280217841524848,0.385154116119704,0.0840000000000005,0.0842227100276013,1
131,7,exponential,original,0.0324838036793397,0.272314833195873,0.385713689946486,0.0405435902228372,0.0406510838430465,0.482661788367109
131,7,equal,fixed-total,0.73622337752252,0.768053192326637,0.0590176978176237,0.227999999999998,0.228604498646348,1
131,7,exponential,fixed-total,0.739141456875287,0.788764925318435,0.0545356855308836,0.227999999999998,0.228604498646348,0.905916335493843
131,15,equal,original,0.56852758751932,0.750093193195098,0.177532718500688,0.180000000000002,0.180477235773433,1
131,15,exponential,original,0.0574289374036073,0.374477097467613,0.379587800226627,0.0876024247816682,0.0878346859535857,0.486680137675934
131,15,equal,fixed-total,0.826621389375622,0.92940772554649,0.106685912096211,0.227999999999998,0.228604498646348,1
131,15,exponential,fixed-total,0.244092943971982,0.580860508293208,0.218806333403286,0.227999999999998,0.228604498646348,0.675549444275556
132,7,equal,original,0.197840310728041,0.366166746442604,0.366760153625587,0.0840000000000005,0.0842227100276013,1
132,7,exponential,original,0.189442965223095,0.435340535334448,0.380592004395128,0.0408182180745583,0.0409264398182966,0.485931167554265
132,7,equal,fixed-total,0.350099864458499,0.550065071030663,0.231249854236904,0.227999999999998,0.228604498646348,1
132,7,exponential,fixed-total,0.328199129894183,0.496989410245116,0.252955344917106,0.227999999999998,0.228604498646348,0.637817681187477
132,15,equal,original,0.571399847338432,0.682536858791537,0.254357366472355,0.180000000000002,0.180477235773433,1
132,15,exponential,original,0.0935555700741359,0.332898073333255,0.379967909976366,0.0877673875835396,0.0880000861229589,0.487596597686331
132,15,equal,fixed-total,0.671402560372241,0.838444667561373,0.0984318551121927,0.227999999999998,0.228604498646348,1
132,15,exponential,fixed-total,0.87930129281494,0.929311928846066,0.0677244106599674,0.227999999999998,0.228604498646348,0.88847712551698
133,7,equal,original,0.315598258973385,0.415499469312384,0.356572624628662,0.0840000000000005,0.0842227100276013,1
133,7,exponential,original,0.364983924087977,0.452164115351562,0.369040095811628,0.0418996276369821,0.0420107165325478,0.498805090916454
133,7,equal,fixed-total,0.995116649122424,0.995992946389991,0.0360602004256109,0.227999999999998,0.228604498646348,1
133,7,exponential,fixed-total,0.474153995488932,0.665049686586271,0.139788813958575,0.227999999999998,0.228604498646348,0.778259525319537
133,15,equal,original,0.821908407378251,0.884808646533248,0.084330552385994,0.180000000000002,0.180477235773433,1
133,15,exponential,original,0.367302921021331,0.460224761080239,0.388254255225733,0.0864685497257308,0.0866978046435411,0.480380831809616
133,15,equal,fixed-total,0.847154927886021,0.909357272085657,0.0795292513177439,0.227999999999998,0.228604498646348,1
133,15,exponential,fixed-total,0.654177115169322,0.824359396896521,0.108850001778449,0.227999999999998,0.228604498646348,0.83236326321714
134,7,equal,original,0.10766098687725,0.439749180632149,0.367800436663959,0.0840000000000005,0.0842227100276013,1
134,7,exponential,original,0.179452654268227,0.345875080230098,0.381275134416082,0.0407645093150521,0.0408725886602271,0.485291777560144
134,7,equal,fixed-total,0.647409634103336,0.787985997370354,0.0794176818545038,0.227999999999998,0.228604498646348,1
134,7,exponential,fixed-total,0.984429377437184,0.990988318285042,0.0262891923805821,0.227999999999998,0.228604498646348,0.955847018933171
134,15,equal,original,0.826098681148245,0.895146672078928,0.106596679303611,0.180000000000002,0.180477235773433,1
134,15,exponential,original,0.276588673507443,0.39141652747087,0.382432461315743,0.0871366409304316,0.0873676671650352,0.484092449613509
134,15,equal,fixed-total,0.700617976557675,0.839213886351316,0.148578954893348,0.227999999999998,0.228604498646348,1
134,15,exponential,fixed-total,0.669181153509284,0.812574779820622,0.145128313889424,0.227999999999998,0.228604498646348,0.77402679745354
135,7,equal,original,0.129032793422272,0.315856498674247,0.380428747118134,0.0840000000000005,0.0842227100276013,1
135,7,exponential,original,0.13849505878578,0.298169714934288,0.382593429200043,0.0406272591384282,0.0407349745908578,0.48365784688605
135,7,equal,fixed-total,0.386282161532866,0.670373933704126,0.182309252638552,0.227999999999998,0.228604498646348,1
135,7,exponential,fixed-total,0.736831407364576,0.765693879534445,0.0851957755978022,0.227999999999998,0.228604498646348,0.862836737431279
135,15,equal,original,0.710689359870607,0.837674524960394,0.199730301904591,0.180000000000002,0.180477235773433,1
135,15,exponential,original,0.188359850104434,0.361023888246148,0.380127360250781,0.0876400663103738,0.0878724272816472,0.486889257279854
135,15,equal,fixed-total,0.941828925645088,0.981433190393496,0.0749699344631836,0.227999999999998,0.228604498646348,1
135,15,exponential,fixed-total,0.922032422653177,0.950542797335199,0.0934115589403643,0.227999999999998,0.228604498646348,0.873447669404783
