condition,seed,N,nNeurons,nSteps,burnIn,totalSocialAttraction,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed
all-original,1,20,100,8000,6000,0.24,0.928239554330305,0.964466098624948,0.134018302576745,0.0252366939324351,0.227999999999998,19,0.65334779274313,0.534457305642144,0.127812105441553,0.610826863986691,1.58735242484385
zero-input,1,20,100,8000,6000,0.24,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,2,20,100,8000,6000,0.24,0.709453715757799,0.850608363986454,0.0954600882848038,0.0188911101832433,0.227999999999998,19,0.572392544770487,0.592431930448146,0.124847002653466,0.622155011661723,1.59026095886118
zero-input,2,20,100,8000,6000,0.24,0.15863584420554,0.342963951039802,0.378097522961016,0.108514849491278,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,3,20,100,8000,6000,0.24,0.391547027797677,0.519152945392126,0.247639865638446,0.0482256724025973,0.227999999999998,19,0.595478500849326,0.430694754522243,0.114352994154155,0.621484154866743,1.58979199744255
zero-input,3,20,100,8000,6000,0.24,0.055213684965494,0.253273089477112,0.391939891104545,0.112810619274514,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,4,20,100,8000,6000,0.24,0.786364776492275,0.86291528606733,0.130889987657597,0.0558546673557645,0.227999999999998,19,0.674040411451289,0.558654803199305,0.125619741298589,0.616221282989112,1.58890665563673
zero-input,4,20,100,8000,6000,0.24,0.170599918966725,0.331772249827625,0.378376564956555,0.112173865789289,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,5,20,100,8000,6000,0.24,0.84995451235395,0.872382875270101,0.0398473545577734,0.0141328211267268,0.227999999999998,19,0.596440050996717,0.586785034152449,0.129791919977715,0.612417606886108,1.5879905496717
zero-input,5,20,100,8000,6000,0.24,0.0962852433221624,0.310731997930163,0.383389576836626,0.110040534158214,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,6,20,100,8000,6000,0.24,0.43955107935687,0.758711365476229,0.184097940131676,0.0375059762744858,0.227999999999998,19,0.61672645059305,0.551380288176312,0.118360737092885,0.620847787026662,1.589984475226
zero-input,6,20,100,8000,6000,0.24,0.34208808895058,0.410053094557142,0.371329912887362,0.10982091757908,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,7,20,100,8000,6000,0.24,0.964935913302395,0.970815359093748,0.115704825045476,0.0100982952721976,0.227999999999998,19,0.586813624590369,0.574397261202826,0.12435264670693,0.619631043612835,1.58945927104395
zero-input,7,20,100,8000,6000,0.24,0.204031655971519,0.370719766472681,0.384604355690062,0.124188129177634,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,8,20,100,8000,6000,0.24,0.705344089858893,0.830466389762781,0.123606181095111,0.035847269757665,0.227999999999998,19,0.596946870340572,0.555495098854485,0.134752509154508,0.616539047641357,1.58892298816711
zero-input,8,20,100,8000,6000,0.24,0.378184558618521,0.438866196643298,0.393665733627937,0.110867404403114,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,9,20,100,8000,6000,0.24,0.648736317638694,0.800607159575685,0.20295353142102,0.051579668053101,0.227999999999998,19,0.682957644442601,0.516004889866207,0.121935217860391,0.61780646637767,1.58943935473238
zero-input,9,20,100,8000,6000,0.24,0.344869579573812,0.446494763438597,0.377476985109651,0.11864635566448,0,0,0,0,0,0.63672450418195,1.59181126045487
all-original,10,20,100,8000,6000,0.24,0.621870502614964,0.751278508749011,0.138158665343893,0.0284812723827235,0.227999999999998,19,0.581170663888236,0.561265569316128,0.12720146485808,0.620724742407984,1.5900162657183
zero-input,10,20,100,8000,6000,0.24,0.0555898844286989,0.306099572977429,0.38552245443077,0.121211797881173,0,0,0,0,0,0.63672450418195,1.59181126045487
