profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
n20-final,20,100,8000,1,0,balanced,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,0,balanced,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,0,nearest,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,0,nearest,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,0,random,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,0,random,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-final,20,100,8000,1,1,balanced,fixed-total,0.280373094626285,0.652547592601741,0.34476020123365,9.18908446047447e-05,0.227999999999998,19,1,0,1,0.227740129535171,0.579391645951493,1.57556855723152,0.15,-5.87734179610468e-16
n20-final,20,100,8000,1,1,balanced,original,0.0908660120502069,0.368996823809011,0.375427428069198,0.111859799039021,0.0119999999999999,19,1,0,1,0.0119875792323691,0.63672450418195,1.59181126045487,1,0.286382178480814
n20-final,20,100,8000,1,1,nearest,fixed-total,0.280373094626285,0.652547592601741,0.34476020123365,9.18908446047447e-05,0.227999999999998,19,1,0,1,0.227740129535171,0.579391645951493,1.57556855723152,0.15,-5.87734179610468e-16
n20-final,20,100,8000,1,1,nearest,original,0.0908660120502069,0.368996823809011,0.375427428069198,0.111859799039021,0.0119999999999999,19,1,0,1,0.0119875792323691,0.63672450418195,1.59181126045487,1,0.286382178480814
n20-final,20,100,8000,1,1,random,fixed-total,0.263093434693274,0.478094334863652,0.175682133522492,0.0389259918516151,0.227999999999998,19,1,0,1,0.227766247716304,0.618819349272226,1.58914664259031,1,1.02486230631377
n20-final,20,100,8000,1,1,random,original,0.0895780403456859,0.301417294586281,0.382182607724842,0.112801218902832,0.0119999999999999,19,1,0,1,0.011987732846638,0.63672450418195,1.59181126045487,1,1.02486230631377
n20-final,20,100,8000,1,2,balanced,fixed-total,0.292267111349767,0.621655807400544,0.356761134335796,0.0475245568020454,0.227999999999998,19,2,0.467419011189485,0.101352118150922,0.113936551054806,0.582628787169867,1.57635740793984,1,0.749723009241484
n20-final,20,100,8000,1,2,balanced,original,0.0924445389885592,0.35953646421487,0.380494701944166,0.116846226387292,0.0239999999999997,19,2,0.47540642298963,0.0769032892738903,0.0119937953061258,0.63672450418195,1.59181126045487,1,1.31093014494067
n20-final,20,100,8000,1,2,nearest,fixed-total,0.791068744294269,0.918590753405967,0.296157824008346,0.00424813979231149,0.227999999999998,19,2,0.167056095049493,0.738942378366332,0.173217264781911,0.590605692719217,1.57964325458426,0.25,-7.6566875995019e-17
n20-final,20,100,8000,1,2,nearest,original,0.212205608084094,0.436672424144927,0.383774965774185,0.112606968299263,0.0239999999999997,19,2,0.251230525301459,0.636541194925326,0.0140631565391606,0.636516134852324,1.59179776456609,1,0.878038252494115
n20-final,20,100,8000,1,2,random,fixed-total,0.580358276429933,0.720442871060272,0.229500010588978,0.0264697896012555,0.227999999999998,19,2,0.205129115400634,0.686846171260599,0.16006701656386,0.624909565246106,1.59044879185337,1,2.05416401377612
n20-final,20,100,8000,1,2,random,original,0.176206907100663,0.399444398894435,0.373282494147369,0.107521644310524,0.0239999999999997,19,2,0.245963771781647,0.643970834230315,0.0143918386924707,0.63672450418195,1.59181126045487,1,2.05416401377612
n20-final,20,100,8000,1,3,balanced,fixed-total,0.290745309144502,0.416676256980566,0.371206501190396,0.0941126883303723,0.227999999999998,19,3,0.523075973113102,0.287353509156655,0.0761444658345713,0.610880553012572,1.58800587530928,1,1.97206475372559
n20-final,20,100,8000,1,3,balanced,original,0.115646819500478,0.320158181679673,0.380489669376518,0.110561049465874,0.0359999999999999,19,3,0.519454914010433,0.29414218599123,0.012010202647095,0.63672450418195,1.59181126045487,1,2.18507530716319
