profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,1,11,all,original,0.225401108548237,0.324361187046493,0.362786203970572,0.15305626545295,0.22,11,11,0.654409913127897,0.315570667452787,0.0804961562993126,0.616704109763064,0.636016789331858,1,12
quick,12,40,400,1,0,random,original,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,0,random,fixed-total,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,0,nearest,original,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,0,nearest,fixed-total,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,0,balanced,original,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,0,balanced,fixed-total,0.176230821026352,0.324388072225316,0.372518662016289,0.150761350387139,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,1,1,random,original,0.131350364872475,0.278487212638692,0.370291577587609,0.154845789605353,0.02,11,1,0,1,0.0198673319652966,0.637274742159118,0.637274742159118,1,0.994244120550287
quick,12,40,400,1,1,random,fixed-total,0.127212887484562,0.475458907840282,0.347760100980197,0.140866477928493,0.22,11,1,0,1,0.218685452617536,0.604950800601947,0.634945247344331,1,0.994244120550287
quick,12,40,400,1,1,nearest,original,0.125207719627352,0.276063613963747,0.370767717749367,0.152648024177308,0.02,11,1,0,1,0.0198591106789154,0.637274742159118,0.637274742159118,0.5,-2.03924730850538e-16
quick,12,40,400,1,1,nearest,fixed-total,0.319532166607136,0.390717325393411,0.356885747050495,0.100810767525079,0.22,11,1,0,1,0.218700544162493,0.614808106844345,0.634972416951585,0.5,5.07256164543147e-17
quick,12,40,400,1,1,balanced,original,0.125207719627352,0.276063613963747,0.370767717749367,0.152648024177308,0.02,11,1,0,1,0.0198591106789154,0.637274742159118,0.637274742159118,0.5,-2.03924730850538e-16
quick,12,40,400,1,1,balanced,fixed-total,0.319532166607136,0.390717325393411,0.356885747050495,0.100810767525079,0.22,11,1,0,1,0.218700544162493,0.614808106844345,0.634972416951585,0.5,5.07256164543147e-17
quick,12,40,400,1,3,random,original,0.116664830851672,0.293755463100176,0.369686642034417,0.155527634007968,0.06,11,3,0.372699671233146,0.550632706426132,0.0317870463161164,0.634591501887076,0.637111034620805,1,3.10015870625099
quick,12,40,400,1,3,random,fixed-total,0.247164341523235,0.4127816776185,0.352640183952812,0.145974530042941,0.22,11,3,0.378657261577787,0.537388626404878,0.118111886445521,0.608057275665407,0.635380733866208,1,3.10015870625099
quick,12,40,400,1,3,nearest,original,0.0957231167606097,0.244113751730551,0.37023961995077,0.156826353672253,0.06,11,3,0.34299175008969,0.618647032056201,0.0283327802932444,0.637274742159118,0.637274742159118,1,0.418083331898155
quick,12,40,400,1,3,nearest,fixed-total,0.222749381976471,0.262000138758767,0.354378913897375,0.120163425421177,0.22,11,3,0.264968191024801,0.746491039364829,0.118259239561201,0.622203318658059,0.636330100611027,1,0.126864379707906
quick,12,40,400,1,3,balanced,original,0.099481325956409,0.283312991442824,0.369833799455994,0.152476964058699,0.06,11,3,0.524401081113495,0.29310306964406,0.0201076429426542,0.632462916743735,0.636980980653072,1,1.19511528653776
quick,12,40,400,1,3,balanced,fixed-total,0.266504539313107,0.435423618288727,0.365416486559245,0.135761246391803,0.22,11,3,0.534401172962922,0.272182272586617,0.0735733392362081,0.615136211715906,0.635922512305496,1,1.14246084698985
