N,policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,isotonicSuccessRate
20,all,original,19,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,balanced,fixed-total,0,30,0,0,0,0.113517091390478,0
20,balanced,fixed-total,1,30,0,0,0,0.113517091390478,0
20,balanced,fixed-total,2,30,0,0,0,0.113517091390478,0
20,balanced,fixed-total,3,30,0,0,0,0.113517091390478,0
20,balanced,fixed-total,4,30,0,0,0,0.113517091390478,0
20,balanced,fixed-total,5,30,2,0.0666666666666667,0.0184766353276933,0.213238177210721,0.0666666666666667
20,balanced,fixed-total,6,30,11,0.366666666666667,0.218737022040177,0.544867535663951,0.366666666666667
20,balanced,fixed-total,7,30,16,0.533333333333333,0.36142013281525,0.697678727758718,0.533333333333333
20,balanced,fixed-total,8,30,23,0.766666666666667,0.590713276696757,0.882077607894988,0.766666666666667
20,balanced,fixed-total,9,30,23,0.766666666666667,0.590713276696757,0.882077607894988,0.766666666666667
20,balanced,fixed-total,10,30,27,0.9,0.743785586847334,0.965400740040284,0.883333333333333
20,balanced,fixed-total,11,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.883333333333333
20,balanced,fixed-total,12,30,27,0.9,0.743785586847334,0.965400740040284,0.9
20,balanced,fixed-total,13,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.916666666666667
20,balanced,fixed-total,14,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.916666666666667
20,balanced,fixed-total,15,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.916666666666667
20,balanced,fixed-total,16,30,27,0.9,0.743785586847334,0.965400740040284,0.916666666666667
20,balanced,fixed-total,17,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.933333333333333
20,balanced,fixed-total,18,30,27,0.9,0.743785586847334,0.965400740040284,0.933333333333333
20,balanced,original,0,30,0,0,0,0.113517091390478,0
20,balanced,original,1,30,0,0,0,0.113517091390478,0
20,balanced,original,2,30,0,0,0,0.113517091390478,0
20,balanced,original,3,30,0,0,0,0.113517091390478,0
20,balanced,original,4,30,0,0,0,0.113517091390478,0
20,balanced,original,5,30,0,0,0,0.113517091390478,0
20,balanced,original,6,30,0,0,0,0.113517091390478,0
20,balanced,original,7,30,0,0,0,0.113517091390478,0
20,balanced,original,8,30,0,0,0,0.113517091390478,0
20,balanced,original,9,30,0,0,0,0.113517091390478,0
20,balanced,original,10,30,0,0,0,0.113517091390478,0
20,balanced,original,11,30,0,0,0,0.113517091390478,0
20,balanced,original,12,30,4,0.133333333333333,0.053095694242181,0.296816839444169,0.133333333333333
20,balanced,original,13,30,18,0.6,0.423200524982738,0.754096056739166,0.583333333333333
20,balanced,original,14,30,17,0.566666666666667,0.391970095454087,0.726227625693849,0.583333333333333
20,balanced,original,15,30,21,0.7,0.521238789883398,0.833354373560411,0.7
20,balanced,original,16,30,25,0.833333333333333,0.664352948143198,0.926635657596483,0.833333333333333
20,balanced,original,17,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.866666666666667
20,balanced,original,18,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.933333333333333
20,nearest,fixed-total,0,30,0,0,0,0.113517091390478,0
20,nearest,fixed-total,1,30,0,0,0,0.113517091390478,0
20,nearest,fixed-total,2,30,1,0.0333333333333333,0.00590843799485738,0.166707513969589,0.0333333333333333
20,nearest,fixed-total,3,30,10,0.333333333333333,0.192302955268462,0.512202741861697,0.333333333333333
20,nearest,fixed-total,4,30,20,0.666666666666667,0.487797258138303,0.807697044731538,0.666666666666667
20,nearest,fixed-total,5,30,21,0.7,0.521238789883398,0.833354373560411,0.7
20,nearest,fixed-total,6,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.766666666666667
20,nearest,fixed-total,7,30,20,0.666666666666667,0.487797258138303,0.807697044731538,0.766666666666667
20,nearest,fixed-total,8,30,24,0.8,0.626939526189726,0.904950218975988,0.8
20,nearest,fixed-total,9,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.866666666666667
20,nearest,fixed-total,10,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.916666666666667
20,nearest,fixed-total,11,30,27,0.9,0.743785586847334,0.965400740040284,0.916666666666667
20,nearest,fixed-total,12,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.933333333333333
20,nearest,fixed-total,13,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.933333333333333
20,nearest,fixed-total,14,30,27,0.9,0.743785586847334,0.965400740040284,0.933333333333333
20,nearest,fixed-total,15,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.955555555555556
20,nearest,fixed-total,16,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.955555555555556
20,nearest,fixed-total,17,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.955555555555556
20,nearest,fixed-total,18,30,30,1,0.886482908609522,1,1
20,nearest,original,0,30,0,0,0,0.113517091390478,0
20,nearest,original,1,30,0,0,0,0.113517091390478,0
20,nearest,original,2,30,0,0,0,0.113517091390478,0
20,nearest,original,3,30,0,0,0,0.113517091390478,0
20,nearest,original,4,30,0,0,0,0.113517091390478,0
20,nearest,original,5,30,0,0,0,0.113517091390478,0
20,nearest,original,6,30,0,0,0,0.113517091390478,0
20,nearest,original,7,30,0,0,0,0.113517091390478,0
20,nearest,original,8,30,0,0,0,0.113517091390478,0
20,nearest,original,9,30,4,0.133333333333333,0.053095694242181,0.296816839444169,0.133333333333333
20,nearest,original,10,30,4,0.133333333333333,0.053095694242181,0.296816839444169,0.133333333333333
20,nearest,original,11,30,11,0.366666666666667,0.218737022040177,0.544867535663951,0.366666666666667
20,nearest,original,12,30,17,0.566666666666667,0.391970095454087,0.726227625693849,0.566666666666667
20,nearest,original,13,30,25,0.833333333333333,0.664352948143198,0.926635657596483,0.833333333333333
20,nearest,original,14,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.844444444444444
20,nearest,original,15,30,25,0.833333333333333,0.664352948143198,0.926635657596483,0.844444444444444
20,nearest,original,16,30,25,0.833333333333333,0.664352948143198,0.926635657596483,0.844444444444444
20,nearest,original,17,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.866666666666667
20,nearest,original,18,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.933333333333333
20,random,fixed-total,0,30,0,0,0,0.113517091390478,0
20,random,fixed-total,1,30,20,0.666666666666667,0.487797258138303,0.807697044731538,0.666666666666667
20,random,fixed-total,2,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.855555555555556
20,random,fixed-total,3,30,27,0.9,0.743785586847334,0.965400740040284,0.855555555555556
20,random,fixed-total,4,30,24,0.8,0.626939526189726,0.904950218975988,0.855555555555556
20,random,fixed-total,5,30,26,0.866666666666667,0.703183160555831,0.946904305757819,0.866666666666667
20,random,fixed-total,6,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.916666666666667
20,random,fixed-total,7,30,27,0.9,0.743785586847334,0.965400740040284,0.916666666666667
20,random,fixed-total,8,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.922222222222222
20,random,fixed-total,9,30,27,0.9,0.743785586847334,0.965400740040284,0.922222222222222
20,random,fixed-total,10,30,27,0.9,0.743785586847334,0.965400740040284,0.922222222222222
20,random,fixed-total,11,30,30,1,0.886482908609522,1,0.966666666666667
20,random,fixed-total,12,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,random,fixed-total,13,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,random,fixed-total,14,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,random,fixed-total,15,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.966666666666667
20,random,fixed-total,16,30,30,1,0.886482908609522,1,0.966666666666667
20,random,fixed-total,17,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.966666666666667
20,random,fixed-total,18,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,random,original,0,30,0,0,0,0.113517091390478,0
20,random,original,1,30,0,0,0,0.113517091390478,0
20,random,original,2,30,0,0,0,0.113517091390478,0
20,random,original,3,30,0,0,0,0.113517091390478,0
20,random,original,4,30,0,0,0,0.113517091390478,0
20,random,original,5,30,0,0,0,0.113517091390478,0
20,random,original,6,30,0,0,0,0.113517091390478,0
20,random,original,7,30,0,0,0,0.113517091390478,0
20,random,original,8,30,0,0,0,0.113517091390478,0
20,random,original,9,30,2,0.0666666666666667,0.0184766353276933,0.213238177210721,0.0666666666666667
20,random,original,10,30,4,0.133333333333333,0.053095694242181,0.296816839444169,0.133333333333333
20,random,original,11,30,12,0.4,0.245903943260834,0.576799475017262,0.4
20,random,original,12,30,22,0.733333333333333,0.555516979556883,0.858175044460894,0.733333333333333
20,random,original,13,30,23,0.766666666666667,0.590713276696757,0.882077607894988,0.766666666666667
20,random,original,14,30,24,0.8,0.626939526189726,0.904950218975988,0.783333333333333
20,random,original,15,30,23,0.766666666666667,0.590713276696757,0.882077607894988,0.783333333333333
20,random,original,16,30,29,0.966666666666667,0.833292486030411,0.994091562005142,0.966666666666667
20,random,original,17,30,30,1,0.886482908609522,1,0.966666666666667
20,random,original,18,30,28,0.933333333333333,0.786761822789279,0.981523364672307,0.966666666666667
