seed,model,eventGO,eventGOLoss,postPairDistance,postPairDistanceIncrease,minimumDistance,collisionFraction,controlEffort,recoveryTime,informationLevel
101,allocentric-kf-unc,0.74196058497813,-0.00590849598415247,0.198807595209995,0.000370638591537779,0.000131293865476668,1,0.0096643721732644,1.2,bearing only
101,vicsek,1,0,0.207157534606491,0,0.00631101748414521,1,0.00368895828969243,1.2,neighbor heading
101,boids,0.974982120308428,0.00306771483134609,0.184026674480022,-0.000192033541430043,0.00609900004337093,0.03,0.0661251700804202,1.2,relative position + heading
101,olfati-saber-type,0.873594404189081,0.074281721069408,0.220976350918286,-0.00817742605315723,0.00602956608108657,0.03,0.0319520085184404,6.3,relative position + heading
102,allocentric-kf-unc,0.87855382971427,-3.65416666568463e-05,0.173874178313457,-0.000426735824927133,0.000229848898318905,1,0.00218822004903881,1.2,bearing only
102,vicsek,1,0,0.154134220233613,0,0.00211265999965891,1,0.00362208091034065,1.2,neighbor heading
102,boids,0.976536846412315,0.0106440179639582,0.13868105090359,-0.00209351363139396,0.00199765093093393,0.28,0.087096796238844,1.2,relative position + heading
102,olfati-saber-type,0.930042170739506,0.0210114093356522,0.195050970723804,-0.00731411168687669,0.00195759104226856,0.0833333333333333,0.0281776448061978,9.3,relative position + heading
103,allocentric-kf-unc,0.698474395630995,-0.0018365148810459,0.23899177408659,-0.000543564162724265,0.0017195318399069,0.532445923460898,0.00350989420829031,1.2,bearing only
103,vicsek,1,0,0.194117222505808,0,0.00928941328245579,1,0.00458723574947548,1.2,neighbor heading
103,boids,0.964051544008817,0.00091124168196828,0.168793103250561,-0.0016248267365784,0.00943455290906975,0.00333333333333333,0.0825301643407078,1.2,relative position + heading
103,olfati-saber-type,0.882552409096719,0.0536845401391945,0.222351536797565,-0.0151281211036581,0.00927960015941237,0.005,0.046532941721648,22.2,relative position + heading
104,allocentric-kf-unc,0.902816821835476,0.0053482638279253,0.146136739834479,-0.00158575804352177,0.000323831456992098,0.941763727121464,0.00160820743344681,1.2,bearing only
104,vicsek,1,0,0.172469607518516,0,0.00882321127139587,1,0.00246650493818683,1.2,neighbor heading
104,boids,0.977672603506396,0.00400127045934719,0.145754125366374,-0.00114598042866432,0.00913088609414699,0.00833333333333333,0.0815786880538533,1.2,relative position + heading
104,olfati-saber-type,0.922763411956749,0.0140352804099127,0.203957336779706,-0.00680330363497919,0.00912701491026723,0.0366666666666667,0.0314962029466946,1.2,relative position + heading
105,allocentric-kf-unc,0.424094226455574,-0.00448336479928707,0.275450109793505,-0.000912711090666887,0.000390437631062561,0.885191347753744,0.00422458510347807,1.2,bearing only
105,vicsek,1,0,0.275839945421275,0,0.0114832909932563,0,0.00683747601310031,1.2,neighbor heading
105,boids,0.980646513353997,0.000433119157658048,0.244447185010847,-0.00111745302290831,0.0119909815138275,0,0.0430992214409001,1.2,relative position + heading
105,olfati-saber-type,0.944249989000311,0.0211302439697808,0.2610274838977,-0.00294590265490674,0.0117938012793874,0,0.03623227468258,1.2,relative position + heading
