policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,meanGO,meanGOPasses,meanGOWilsonLower95,meanGOWilsonUpper95,meanGOPairedDifference,meanLO,meanLOPasses,meanLOWilsonLower95,meanLOWilsonUpper95,meanLOPairedDifference,meanPairDistanceNorm,meanPairDistanceNormPasses,meanPairDistanceNormWilsonLower95,meanPairDistanceNormWilsonUpper95,meanPairDistanceNormPairedDifference,strictJointSuccesses,isotonicSuccessRate
all,original,19,100,96,0.96,0.9016278276739262,0.984336949448152,0.6545135366939285,95,0.8882480347279118,0.9784566385436864,0.0,0.7863157246113387,95,0.8882480347279118,0.9784566385436864,0.0,0.1568064193512913,95,0.8882480347279118,0.9784566385436864,0.0,88,0.96
balanced,fixed-total,0,100,0,0.0,0,0.03699480747600191,0.2039686762347308,20,0.1333659225590988,0.28883096192650237,-0.45054486045919767,0.3681768293357537,2,0.005501852234968185,0.07001316294199365,-0.418138895275585,0.38249942222629324,0,0,0.03699480747600191,0.2256930028750019,0,0.0
balanced,fixed-total,1,100,0,0.0,0,0.03699480747600191,0.32657446111124006,49,0.3942183009238615,0.5865215952256586,-0.3279390755826885,0.5851700492368191,72,0.6251178763865427,0.7986044083240164,-0.20114567537451955,0.34896990266811473,0,0,0.03699480747600191,0.19216348331682342,0,0.0
balanced,fixed-total,2,100,0,0.0,0,0.03699480747600191,0.23458649946463786,17,0.10893476059773155,0.25548181233642975,-0.41992703722929065,0.4927592562324498,34,0.25461379497543,0.43722454341689065,-0.2935564683788889,0.3624194430175325,0,0,0.03699480747600191,0.20561302366624118,0,0.0
balanced,fixed-total,3,100,0,0.0,0,0.03699480747600191,0.2588211756965521,30,0.21894753866228117,0.39585038432811953,-0.39569236099737637,0.4917740129995025,29,0.21014706973984146,0.38539074940007934,-0.2945417116118362,0.36457928385648963,0,0,0.03699480747600191,0.2077728645051983,0,0.0
balanced,fixed-total,4,100,6,0.06,0.02778574526665662,0.12476968531222507,0.2517403291142408,19,0.1251465399270426,0.27779024070807856,-0.40277320757968765,0.4765445129794334,23,0.15843154746876406,0.32154564856827694,-0.3097712116319053,0.350228004984281,6,0.02778574526665662,0.12476968531222507,0.19342158563298972,2,0.06
balanced,fixed-total,5,100,14,0.14,0.08526265754464905,0.22137360383807236,0.29169262924140016,39,0.300167219319702,0.48797163832501844,-0.3628209074525284,0.49605215700104444,36,0.2727107459049014,0.45764780018837914,-0.29026356761029426,0.3223674152030163,18,0.11700131654251038,0.26667536024213084,0.165560995851725,12,0.14
balanced,fixed-total,6,100,46,0.46,0.36560643853331865,0.5573531460647615,0.36376997912395354,48,0.38464384320080547,0.5768359490982345,-0.290743557569975,0.5452931571013874,45,0.3561437510640346,0.5475557296835656,-0.24102256750995132,0.2491497311106441,50,0.40382982859014716,0.5961701714098528,0.09234331175935279,35,0.46
balanced,fixed-total,7,100,62,0.62,0.5220957382071033,0.7090255079986562,0.4233675816153016,56,0.4622792771125631,0.6532813459903167,-0.23114595507862692,0.6031330612129228,62,0.5220957382071033,0.7090255079986562,-0.1831826633984159,0.2038591391573599,71,0.6146092505999207,0.7898529302601586,0.04705271980606858,51,0.62
balanced,fixed-total,8,100,80,0.8,0.7111690380734977,0.8666340774409013,0.46498669871648957,73,0.6356769977376873,0.8073053908233518,-0.18952683797743897,0.6370337300690717,72,0.6251178763865427,0.7986044083240164,-0.14928199454226695,0.17974254759366382,86,0.7786263961619276,0.914737342455351,0.022936128242372504,67,0.8
balanced,fixed-total,9,100,87,0.87,0.7901947810519012,0.9224290614158575,0.5373558677956165,83,0.7445181876635703,0.8910652394022684,-0.11715766889831196,0.6957327988262331,87,0.7901947810519012,0.9224290614158575,-0.0905829257851057,0.15807593649352336,92,0.8500173312059693,0.9589070305141891,0.0012695171422320397,80,0.87
balanced,fixed-total,10,100,93,0.93,0.8625032899347025,0.965681175635936,0.570253144570731,88,0.8018773199709163,0.9300066263473222,-0.08426039212319758,0.7244369876706207,91,0.8377362530335634,0.9519280048361151,-0.06187873694071796,0.15468580598805096,90,0.8256326956323347,0.9447714583868639,-0.0021206133632403535,80,0.915
balanced,fixed-total,11,100,90,0.9,0.8256326956323347,0.9447714583868639,0.5463256234457002,90,0.8256326956323347,0.9447714583868639,-0.10818791324822824,0.7188292844145381,94,0.8752303146877748,0.9722142547333433,-0.06748644019680058,0.15603863750560518,94,0.8752303146877748,0.9722142547333433,-0.0007677818456861329,84,0.915
balanced,fixed-total,12,100,96,0.96,0.9016278276739262,0.984336949448152,0.6007118538445033,88,0.8018773199709163,0.9300066263473222,-0.05380168284942522,0.7512466110706143,93,0.8625032899347025,0.965681175635936,-0.035069113540724395,0.14314380730226833,99,0.9455124752390653,0.9982326134344526,-0.01366261204902299,85,0.96
balanced,fixed-total,13,100,98,0.98,0.9299868370580063,0.9944981477650318,0.6077511434460184,94,0.8752303146877748,0.9722142547333433,-0.04676239324791003,0.7601791578066085,97,0.915479219195973,0.9897456617765851,-0.026136566804730185,0.14472001223212466,99,0.9455124752390653,0.9982326134344526,-0.01208640711916665,93,0.96
balanced,fixed-total,14,100,94,0.94,0.8752303146877748,0.9722142547333433,0.5930225678416943,88,0.8018773199709163,0.9300066263473222,-0.061490968852234186,0.7515332429435501,94,0.8752303146877748,0.9722142547333433,-0.03478248166778862,0.15376221566959677,95,0.8882480347279118,0.9784566385436864,-0.003044203681694534,85,0.96
balanced,fixed-total,15,100,97,0.97,0.915479219195973,0.9897456617765851,0.6533990360499337,95,0.8882480347279118,0.9784566385436864,-0.0011145006439947961,0.7859479767889831,100,0.9630051925239981,0.9999999999999999,-0.00036774782235564184,0.14527538465398712,97,0.915479219195973,0.9897456617765851,-0.011531034697304193,92,0.965
balanced,fixed-total,16,100,96,0.96,0.9016278276739262,0.984336949448152,0.6481920956525816,95,0.8882480347279118,0.9784566385436864,-0.006321441041346922,0.7855153313637141,97,0.915479219195973,0.9897456617765851,-0.0008003932476246156,0.14714513957475972,95,0.8882480347279118,0.9784566385436864,-0.009661279776531582,92,0.965
balanced,fixed-total,17,100,97,0.97,0.915479219195973,0.9897456617765851,0.6961172693256957,96,0.9016278276739262,0.984336949448152,0.04160373263176724,0.8112429183800696,97,0.915479219195973,0.9897456617765851,0.024927193768730895,0.13418193338334902,96,0.9016278276739262,0.984336949448152,-0.0226244859679423,95,0.9666666666666667
balanced,fixed-total,18,100,97,0.97,0.915479219195973,0.9897456617765851,0.7160423419090342,95,0.8882480347279118,0.9784566385436864,0.06152880521510564,0.8277376514441859,97,0.915479219195973,0.9897456617765851,0.041421926832847164,0.13925631803430139,97,0.915479219195973,0.9897456617765851,-0.017550101316989933,93,0.9666666666666667
balanced,fixed-total,19,100,96,0.96,0.9016278276739262,0.984336949448152,0.6545135366939285,95,0.8882480347279118,0.9784566385436864,0.0,0.7863157246113387,95,0.8882480347279118,0.9784566385436864,0.0,0.1568064193512913,95,0.8882480347279118,0.9784566385436864,0.0,88,0.9666666666666667
balanced,original,0,100,0,0.0,0,0.03699480747600191,0.2039686762347308,20,0.1333659225590988,0.28883096192650237,-0.45054486045919767,0.3681768293357537,2,0.005501852234968185,0.07001316294199365,-0.418138895275585,0.38249942222629324,0,0,0.03699480747600191,0.2256930028750019,0,0.0
