hiddenCount,T,mode,metric,n,mean,ci95Low,ci95High
7.0,3.0,hold,eventGOLoss,30,7.136517483546005e-05,-0.00010576561739313817,0.00025964829715445536
7.0,3.0,hold,eventGODeviation,30,0.000366667943190805,0.00023318936456186138,0.0005250715006515891
7.0,3.0,hold,postGOLoss,30,-1.8728514862227753e-06,-0.00018132699498242487,0.00016027693430629603
7.0,3.0,hold,postGODeviation,30,0.000477108134942942,0.0003036359654925847,0.0006868325954949328
7.0,3.0,hold,eventPairDistanceIncrease,30,5.09895310941144e-07,1.741662652447738e-07,9.98897383656151e-07
7.0,3.0,hold,eventPairDistanceDeviation,30,6.176533100657468e-07,3.1489103809572334e-07,1.0848978351260996e-06
7.0,3.0,hold,postPairDistanceIncrease,30,1.1885769241205428e-05,4.1583423140434e-06,2.0215577498572565e-05
7.0,3.0,hold,postPairDistanceDeviation,30,1.6380940298698868e-05,1.0193333171181145e-05,2.3989929544122423e-05
7.0,3.0,hold,meanPredictionError,30,0.023316702863985028,0.019991025680315543,0.02658627490487829
7.0,3.0,hold,p90PredictionError,30,0.03626714641476321,0.03173918307475765,0.04148891508539727
7.0,3.0,hold,recoveryTime,30,1.2,1.2,1.2
7.0,3.0,kalman,eventGOLoss,30,3.869655130827222e-05,-0.00010728265742356138,0.0002251824910074716
7.0,3.0,kalman,eventGODeviation,30,0.0002925202118736341,0.0001734731906066241,0.0004464940764882285
7.0,3.0,kalman,postGOLoss,30,-0.0001452726783367948,-0.000513750768764691,0.00019730572050104204
7.0,3.0,kalman,postGODeviation,30,0.0005796539877399344,0.00028319576558086804,0.0009362860806321014
7.0,3.0,kalman,eventPairDistanceIncrease,30,2.713384200852636e-07,-2.0783336832530509e-07,8.50204248822132e-07
7.0,3.0,kalman,eventPairDistanceDeviation,30,7.235642535508477e-07,3.226673975595398e-07,1.2443061370955026e-06
7.0,3.0,kalman,postPairDistanceIncrease,30,1.432978134223449e-05,2.6427338364164764e-06,2.9557924679429226e-05
7.0,3.0,kalman,postPairDistanceDeviation,30,1.859078388522515e-05,7.555405947958995e-06,3.315403096091762e-05
7.0,3.0,kalman,meanPredictionError,30,0.02328783775283662,0.01954774681365894,0.0273548609958912
7.0,3.0,kalman,p90PredictionError,30,0.026095331747954573,0.025303748851796554,0.026892510939302998
7.0,3.0,kalman,recoveryTime,30,1.2,1.2,1.2
7.0,3.0,kalman-gm,eventGOLoss,30,-3.202540152527167e-05,-0.00021732364440825186,0.00016101587764458394
7.0,3.0,kalman-gm,eventGODeviation,30,0.00029728895551125843,0.00014765868318100057,0.00048043343721905637
7.0,3.0,kalman-gm,postGOLoss,30,-6.894905889810817e-05,-0.0002959704516651127,0.00014348675374349033
7.0,3.0,kalman-gm,postGODeviation,30,0.00039515430948584905,0.0002024905199083562,0.0006247373505375178
7.0,3.0,kalman-gm,eventPairDistanceIncrease,30,2.9941112039429595e-07,-1.0263343964885444e-07,8.318363974500292e-07
7.0,3.0,kalman-gm,eventPairDistanceDeviation,30,6.65212590369631e-07,3.416124729707646e-07,1.1350266967009397e-06
7.0,3.0,kalman-gm,postPairDistanceIncrease,30,5.732083765582453e-06,-3.181002330369787e-06,1.496836316850205e-05
7.0,3.0,kalman-gm,postPairDistanceDeviation,30,1.3914428470089813e-05,7.264627626707833e-06,2.1919681042983982e-05
7.0,3.0,kalman-gm,meanPredictionError,30,0.020235518214055972,0.016811857705803755,0.024000679483579215
7.0,3.0,kalman-gm,p90PredictionError,30,0.018209645325113922,0.01620093139894981,0.020661885611101598
7.0,3.0,kalman-gm,recoveryTime,30,1.2,1.2,1.2
7.0,3.0,mean,eventGOLoss,30,3.91671957890612e-05,-0.00010651317141420771,0.00022509172428118227
7.0,3.0,mean,eventGODeviation,30,0.00028921956237862274,0.000170536004212422,0.0004430948234470589
7.0,3.0,mean,postGOLoss,30,-0.00015315136817479778,-0.0005246465063675844,0.0001959906378707624
7.0,3.0,mean,postGODeviation,30,0.0005849286287896798,0.000283125024342735,0.0009446494965528915
7.0,3.0,mean,eventPairDistanceIncrease,30,2.77604908236843e-07,-2.033638898114401e-07,8.592613091748524e-07
7.0,3.0,mean,eventPairDistanceDeviation,30,7.301156668481261e-07,3.271127599629996e-07,1.25454493298797e-06
7.0,3.0,mean,postPairDistanceIncrease,30,1.5121218427156135e-05,2.9838488334174823e-06,3.073635629754266e-05
7.0,3.0,mean,postPairDistanceDeviation,30,1.9245719685575318e-05,7.683346798455237e-06,3.423419318129433e-05
7.0,3.0,mean,meanPredictionError,30,0.023287835666813528,0.019547743276219002,0.027354849015947195
7.0,3.0,mean,p90PredictionError,30,0.026095231984980236,0.02530364523681494,0.02689230598452706
7.0,3.0,mean,recoveryTime,30,1.2,1.2,1.2
7.0,3.0,none,eventGOLoss,30,9.736452010410647e-05,-0.0008136862096804741,0.0009689472311700342
7.0,3.0,none,eventGODeviation,30,0.0021795112454369814,0.0016912404575724742,0.002701460721822773
7.0,3.0,none,postGOLoss,30,-0.0005545026253292178,-0.0024807653689491297,0.0013890064370449854
7.0,3.0,none,postGODeviation,30,0.004914981157353632,0.0038612387142428735,0.006020177160096273
7.0,3.0,none,eventPairDistanceIncrease,30,7.478134813977924e-06,4.563858315414922e-06,1.0516618840835573e-05
7.0,3.0,none,eventPairDistanceDeviation,30,8.561106205428742e-06,6.121757938492615e-06,1.1366857661341091e-05
7.0,3.0,none,postPairDistanceIncrease,30,0.00011389339183616558,3.2184869421683914e-05,0.00019385315987134613
7.0,3.0,none,postPairDistanceDeviation,30,0.00018728754224514515,0.00013159824283210067,0.0002496946862456452
7.0,3.0,none,meanPredictionError,30,nan,nan,nan
7.0,3.0,none,p90PredictionError,30,nan,nan,nan
7.0,3.0,none,recoveryTime,30,1.2,1.2,1.2
7.0,6.0,hold,eventGOLoss,30,0.00023176507112821038,-0.00013316406811832997,0.0005888006823154673
7.0,6.0,hold,eventGODeviation,30,0.0008771063487432967,0.0006389685141407955,0.001129950436464784
