hiddenCount,T,mode,metric,n,mean,ci95
7,3,none,eventGOLoss,30,9.73645201041065e-05,0.000905418237599148
7,3,none,eventGODeviation,30,0.00217951124543698,0.000512980996289074
7,3,none,postGOLoss,30,-0.000554502625329218,0.00198500534570198
7,3,none,postGODeviation,30,0.00491498115735363,0.00112460517590827
7,3,none,eventPairDistanceIncrease,30,7.47813481397792e-06,3.02008459951305e-06
7,3,none,eventPairDistanceDeviation,30,8.56110620542874e-06,2.62478369339222e-06
7,3,none,postPairDistanceIncrease,30,0.000113893391836166,8.09754966665183e-05
7,3,none,postPairDistanceDeviation,30,0.000187287542245145,6.05152913654132e-05
7,3,none,recoveryTime,30,1.2,0
7,3,hold,eventGOLoss,30,7.136517483546e-05,0.000183793543087988
7,3,hold,eventGODeviation,30,0.000366667943190805,0.000151098825861993
7,3,hold,postGOLoss,30,-1.87285148622278e-06,0.000179931731898766
7,3,hold,postGODeviation,30,0.000477108134942942,0.000197730399451921
7,3,hold,eventPairDistanceIncrease,30,5.09895310941144e-07,4.35139998642264e-07
7,3,hold,eventPairDistanceDeviation,30,6.17653310065747e-07,4.17914264066794e-07
7,3,hold,postPairDistanceIncrease,30,1.18857692412054e-05,8.2200926864278e-06
7,3,hold,postPairDistanceDeviation,30,1.63809402986989e-05,7.12636989092889e-06
7,3,hold,meanPredictionError,30,0.023316702863985,0.00341609788405798
7,3,hold,p90PredictionError,30,0.0362671464147632,0.00493052672667104
7,3,hold,recoveryTime,30,1.2,0
7,3,mean,eventGOLoss,30,3.91671957890612e-05,0.000171395458982842
7,3,mean,eventGODeviation,30,0.000289219562378623,0.000144342685752979
7,3,mean,postGOLoss,30,-0.000153151368174798,0.000371763140464351
7,3,mean,postGODeviation,30,0.00058492862878968,0.000354146065188256
7,3,mean,eventPairDistanceIncrease,30,2.77604908236843e-07,5.51357300735813e-07
7,3,mean,eventPairDistanceDeviation,30,7.30115666848126e-07,4.9430641938452e-07
7,3,mean,postPairDistanceIncrease,30,1.51212184271561e-05,1.48333071592352e-05
7,3,mean,postPairDistanceDeviation,30,1.92457196855753e-05,1.42210742938032e-05
7,3,mean,meanPredictionError,30,0.0232878356668135,0.00407542645695141
7,3,mean,p90PredictionError,30,0.0260952319849802,0.000808688643413401
7,3,mean,recoveryTime,30,1.2,0
7,3,kalman,eventGOLoss,30,3.86965513082722e-05,0.000172481439602791
7,3,kalman,eventGODeviation,30,0.000292520211873634,0.000145057788573574
7,3,kalman,postGOLoss,30,-0.000145272678336795,0.000365305039700899
7,3,kalman,postGODeviation,30,0.000579653987739934,0.000348638119877049
7,3,kalman,eventPairDistanceIncrease,30,2.71338420085264e-07,5.48561494744993e-07
7,3,kalman,eventPairDistanceDeviation,30,7.23564253550848e-07,4.91998610750209e-07
7,3,kalman,postPairDistanceIncrease,30,1.43297813422345e-05,1.43351392722986e-05
7,3,kalman,postPairDistanceDeviation,30,1.85907838852252e-05,1.37102177638333e-05
7,3,kalman,meanPredictionError,30,0.0232878377528366,0.00407543078692885
7,3,kalman,p90PredictionError,30,0.0260953317479546,0.000808757591602224
7,3,kalman,recoveryTime,30,1.2,0
