hiddenCount,T,mode,metric,n,mean,ci95
7,3,none,eventGOLoss,2,0.00185936362098247,0.00280333176367349
7,3,none,eventGODeviation,2,0.00212384028201883,0.00228495750804223
7,3,none,postGOLoss,2,0.00443791079040923,0.00858678304365111
7,3,none,postGODeviation,2,0.00542931055404033,0.00664363950693416
7,3,none,eventPairDistanceIncrease,2,-1.73896596556422e-06,1.24846375414047e-05
7,3,none,eventPairDistanceDeviation,2,6.36971303132894e-06,3.40837329250587e-06
7,3,none,postPairDistanceIncrease,2,-1.79145314711145e-05,0.000268888430311821
7,3,none,postPairDistanceDeviation,2,0.000137187974648888,3.51124816833844e-05
7,3,none,recoveryTime,2,1.2,0
7,3,hold,eventGOLoss,2,2.35676822379086e-05,2.7435218917633e-05
7,3,hold,eventGODeviation,2,0.000217272913574868,5.94606963557834e-05
7,3,hold,postGOLoss,2,0.000237139192567657,1.94681391876997e-05
7,3,hold,postGODeviation,2,0.000536925113462152,0.000418430346779228
7,3,hold,eventPairDistanceIncrease,2,1.77087691347055e-07,5.32988903628185e-07
7,3,hold,eventPairDistanceDeviation,2,3.04126826275453e-07,2.83992199168526e-07
7,3,hold,postPairDistanceIncrease,2,1.67497338777603e-05,1.7977251063201e-05
7,3,hold,postPairDistanceDeviation,2,1.68465702840001e-05,1.7787451706971e-05
7,3,hold,meanPredictionError,2,0.0266615712228448,0.0128815424793199
7,3,hold,p90PredictionError,2,0.0338884686173294,0.00176541807806346
7,3,hold,recoveryTime,2,1.2,0
7,3,mean,eventGOLoss,2,-8.90988850233559e-05,0.000145499858865772
7,3,mean,eventGODeviation,2,0.00010302102730275,0.000172747061686181
7,3,mean,postGOLoss,2,-0.000968330937036653,0.00208964291052021
7,3,mean,postGODeviation,2,0.00112400757905355,0.00190900865207623
7,3,mean,eventPairDistanceIncrease,2,-5.31178846741032e-08,8.1357795985948e-08
7,3,mean,eventPairDistanceDeviation,2,8.51949004343486e-08,1.4421333929282e-07
7,3,mean,postPairDistanceIncrease,2,3.00513895977965e-05,6.77918357001217e-05
7,3,mean,postPairDistanceDeviation,2,3.45876712755723e-05,5.89007236116811e-05
7,3,mean,meanPredictionError,2,0.0300695480300712,0.0265731509496662
7,3,mean,p90PredictionError,2,0.0258851241180076,0.00279190622033537
7,3,mean,recoveryTime,2,1.2,0
7,3,kalman,eventGOLoss,2,-9.20009858092308e-05,0.000137233015209761
7,3,kalman,eventGODeviation,2,0.00010705041804102,0.000166729902384069
7,3,kalman,postGOLoss,2,-0.000959436684188198,0.0021094807372221
7,3,kalman,postGODeviation,2,0.00113458494535379,0.00188014288777657
7,3,kalman,eventPairDistanceIncrease,2,-5.82513283831077e-08,7.85976981978464e-08
7,3,kalman,eventPairDistanceDeviation,2,8.977258856846e-08,1.40327999910595e-07
7,3,kalman,postPairDistanceIncrease,2,2.9120836629004e-05,6.79514993226761e-05
7,3,kalman,postPairDistanceDeviation,2,3.46691323074878e-05,5.70768397928478e-05
7,3,kalman,meanPredictionError,2,0.0300695567224434,0.0265731815177379
7,3,kalman,p90PredictionError,2,0.0258851225333918,0.00279190360618929
7,3,kalman,recoveryTime,2,1.2,0
7,3,kalman-gm,eventGOLoss,2,-4.10750180187547e-06,1.49306543289157e-07
7,3,kalman-gm,eventGODeviation,2,0.000106909428990407,0.000201556140172321
7,3,kalman-gm,postGOLoss,2,-0.000899226793050018,0.00171653986283189
7,3,kalman-gm,postGODeviation,2,0.000950135172702283,0.00169629593849362
7,3,kalman-gm,eventPairDistanceIncrease,2,1.62160316463655e-07,3.22649220736215e-07
7,3,kalman-gm,eventPairDistanceDeviation,2,1.7037787969909e-07,3.2908836004486e-07
7,3,kalman-gm,postPairDistanceIncrease,2,2.78127441517686e-05,5.21429714703482e-05
7,3,kalman-gm,postPairDistanceDeviation,2,2.78615458108319e-05,5.20473202185842e-05
7,3,kalman-gm,meanPredictionError,2,0.0209215415923699,0.0246626254612309
