seed,policy,strengthMode,k,pointFraction,block100_90,block100_95,block300_90,block300_95,longestFailureSteps,summaryGO,summaryLO,summaryPairDistance
41,all,original,19,1,1,1,1,1,0,0.844086973656548,0.919401091542104,0.0604153840021985
41,random,fixed-total,7,0.698,0,0,0,0,528,0.503798697484002,0.769973147195019,0.146633453678437
41,random,fixed-total,15,1,1,1,1,1,0,0.774762844038774,0.876383871677305,0.111855554506715
41,balanced,fixed-total,15,0.319,0,0,0,0,892,0.425665030080462,0.680018004983722,0.212807314728121
42,all,original,19,1,1,1,1,1,0,0.950973030946918,0.974193819885083,0.0668689530757126
42,random,fixed-total,7,1,1,1,1,1,0,0.777491758565463,0.785810100019509,0.184478023831831
42,random,fixed-total,15,0.129,0,0,0,0,1742,0.64799964349965,0.736611825320871,0.314497501773557
42,balanced,fixed-total,15,0.779,0,0,0,0,279,0.546783364972263,0.675560297411453,0.165624180622568
43,all,original,19,0.772,0,0,0,0,208,0.542780171868406,0.746605006098803,0.174428521777523
43,random,fixed-total,7,1,1,1,1,1,0,0.934823732970909,0.948543328994486,0.0244640444456061
43,random,fixed-total,15,0.3,0,0,0,0,727,0.39474579858343,0.600529365407333,0.218002027382637
43,balanced,fixed-total,15,0.5115,0,0,0,0,938,0.413542767329488,0.572889577323518,0.221108308689487
44,all,original,19,0.9715,1,1,1,1,57,0.583014465230846,0.684960715794086,0.212610372565644
44,random,fixed-total,7,0.602,0,0,0,0,794,0.403227260474461,0.673193650477695,0.123512221620579
44,random,fixed-total,15,0.325,0,0,0,0,905,0.376889873029117,0.649506801668585,0.185351497508833
44,balanced,fixed-total,15,0.281,0,0,0,0,1045,0.452590268379509,0.59840939851519,0.233907998357764
45,all,original,19,1,1,1,1,1,0,0.605240357767658,0.745809878231496,0.131964832749871
45,random,fixed-total,7,0.176,0,0,0,0,1563,0.328536717283667,0.565035188281396,0.193043020799021
45,random,fixed-total,15,1,1,1,1,1,0,0.733252149383312,0.744326411804478,0.203868033472237
45,balanced,fixed-total,15,1,1,1,1,1,0,0.765474252334001,0.840339921396399,0.0964210162682268
46,all,original,19,1,1,1,1,1,0,0.959818303767875,0.975752012281204,0.113290209259722
46,random,fixed-total,7,0.997,1,1,1,1,6,0.567818127423224,0.784048219449373,0.135644833867525
46,random,fixed-total,15,1,1,1,1,1,0,0.838994791089268,0.876845224855152,0.184242950598883
46,balanced,fixed-total,15,0.51,0,0,0,0,849,0.352375426651263,0.594447100290519,0.197473846335911
47,all,original,19,0.109,0,0,0,0,1067,0.32355430786487,0.477757592045216,0.236831649621888
47,random,fixed-total,7,0.241,0,0,0,0,1518,0.364232765352372,0.650879227231439,0.258379889069913
47,random,fixed-total,15,0.607,0,0,0,0,324,0.531537389230036,0.678664592031271,0.220466910258653
47,balanced,fixed-total,15,1,1,1,1,1,0,0.70978573105395,0.82639635932338,0.156633097681205
48,all,original,19,1,1,1,1,1,0,0.830973982321515,0.899290786996626,0.112039306494883
48,random,fixed-total,7,0.425,0,0,0,0,846,0.630652621513482,0.771189020143148,0.211768091805007
48,random,fixed-total,15,1,1,1,1,1,0,0.74117636926886,0.843466359077284,0.0803681358092003
48,balanced,fixed-total,15,1,1,1,1,1,0,0.902803447092751,0.928878752240072,0.0686238940988942
49,all,original,19,1,1,1,1,1,0,0.980032929870176,0.98456672946978,0.0565865692921878
49,random,fixed-total,7,0.7585,0,0,0,0,483,0.525567194910793,0.750196808914222,0.166935452581985
49,random,fixed-total,15,0.918,0,0,0,0,130,0.634775877028966,0.765817610129832,0.122705000960665
49,balanced,fixed-total,15,1,1,1,1,1,0,0.763798064438044,0.874785527613577,0.136393005404415
50,all,original,19,1,1,1,1,1,0,0.598491346327005,0.780487754517311,0.194912917735275
50,random,fixed-total,7,1,1,1,1,1,0,0.902579726352836,0.944704569008745,0.0194487771481217
50,random,fixed-total,15,0.858,0,0,0,0,214,0.607418915551692,0.722453167801732,0.13762928287766
50,balanced,fixed-total,15,0.508,0,0,0,0,598,0.471810847917275,0.706487941960118,0.154019340690406
