seed,policy,strengthMode,k,evaluationSteps,sustainedSuccessFraction,firstFailureStep,longestFailureSteps,failureRuns,recoveryRuns,meanGO,meanLO,meanPairDistanceNorm
1,all,original,19,2000,1,NaN,0,0,0,0.928239554330305,0.964466098624948,0.134018302576745
1,random,fixed-total,7,2000,0.4865,1,587,2,2,0.392156900850909,0.628653819704521,0.172952134845837
1,random,fixed-total,15,2000,0.432,1,611,3,2,0.412509688892786,0.632386149017657,0.183102223318137
1,balanced,fixed-total,15,2000,1,NaN,0,0,0,0.902743770979196,0.932863782141588,0.0210598633105131
2,all,original,19,2000,0.972,1251,56,1,1,0.709453715757799,0.850608363986454,0.0954600882848038
2,random,fixed-total,7,2000,0.5615,198,582,2,2,0.509837478031835,0.722566708527479,0.194667731289462
2,random,fixed-total,15,2000,0.881,1763,238,1,0,0.668958856789707,0.760433760075701,0.166527587670504
2,balanced,fixed-total,15,2000,1,NaN,0,0,0,0.779687361928896,0.865190432921938,0.0418681988052069
3,all,original,19,2000,0.0485,1,998,6,5,0.391547027797677,0.519152945392126,0.247639865638446
3,random,fixed-total,7,2000,1,NaN,0,0,0,0.83285379418873,0.89782618952969,0.0961556028200219
3,random,fixed-total,15,2000,0.79,1515,420,1,1,0.491421381090705,0.744174670387006,0.134817075096135
3,balanced,fixed-total,15,2000,0.943,1,114,1,1,0.653615607033543,0.818912844341926,0.118964062036605
4,all,original,19,2000,1,NaN,0,0,0,0.786364776492275,0.86291528606733,0.130889987657597
4,random,fixed-total,7,2000,0.7805,228,187,10,10,0.438816430012851,0.697817462083641,0.161069339592275
4,random,fixed-total,15,2000,0.589,1179,822,1,0,0.697182897327894,0.754545636885783,0.224183923734387
4,balanced,fixed-total,15,2000,0.26,1,1018,5,5,0.29156259286238,0.56599474441186,0.192314608084848
5,all,original,19,2000,1,NaN,0,0,0,0.84995451235395,0.872382875270101,0.0398473545577734
5,random,fixed-total,7,2000,0.539,1,900,5,5,0.403157625732967,0.748247361813898,0.168292129518906
5,random,fixed-total,15,2000,0.7785,835,246,3,3,0.503953633542383,0.627112895220688,0.19257053421906
5,balanced,fixed-total,15,2000,0.021,1,1034,5,4,0.245808028638281,0.531757246205496,0.235852366052056
6,all,original,19,2000,0.45,1,700,2,2,0.43955107935687,0.758711365476229,0.184097940131676
6,random,fixed-total,7,2000,0.5275,1,864,5,4,0.415298376858038,0.746624291198221,0.1667016287238
6,random,fixed-total,15,2000,0.5425,454,609,2,1,0.50277452939851,0.711665551021976,0.211492016792042
6,balanced,fixed-total,15,2000,0.6275,480,745,1,1,0.418591977932693,0.712980400759155,0.203562141875672
7,all,original,19,2000,1,NaN,0,0,0,0.964935913302395,0.970815359093748,0.115704825045476
7,random,fixed-total,7,2000,1,NaN,0,0,0,0.634984296425978,0.79332110249181,0.12632875939628
7,random,fixed-total,15,2000,0.1035,1,993,7,6,0.326720395922303,0.499360342421904,0.239728760796039
7,balanced,fixed-total,15,2000,0.408,1,1023,8,8,0.375316745516373,0.727952836271048,0.179152990944898
8,all,original,19,2000,1,NaN,0,0,0,0.705344089858893,0.830466389762781,0.123606181095111
8,random,fixed-total,7,2000,0.799,1599,402,1,0,0.644383381911184,0.788978220343365,0.168471898942611
8,random,fixed-total,15,2000,0.3405,193,612,6,5,0.346817577568144,0.612917614213547,0.179372957721728
8,balanced,fixed-total,15,2000,1,NaN,0,0,0,0.922752777440284,0.948935903408614,0.0653761057080885
9,all,original,19,2000,0.9105,424,126,2,2,0.648736317638694,0.800607159575685,0.20295353142102
9,random,fixed-total,7,2000,0.6535,683,693,1,1,0.571583469855087,0.743118448209132,0.190511781176029
9,random,fixed-total,15,2000,0.9345,587,105,2,2,0.640102320872862,0.7934220283766,0.178421323319047
9,balanced,fixed-total,15,2000,1,NaN,0,0,0,0.889804409703096,0.92850789111212,0.0869927091284184
10,all,original,19,2000,0.723,1,247,9,9,0.621870502614964,0.751278508749011,0.138158665343893
10,random,fixed-total,7,2000,1,NaN,0,0,0,0.984444357204018,0.985819737198936,0.0578787001667658
10,random,fixed-total,15,2000,0.954,510,30,10,10,0.632774289477152,0.716375910017697,0.148656580091164
10,balanced,fixed-total,15,2000,0.306,188,1388,1,1,0.45150399435523,0.770676971272446,0.210097823923293
