seed,hiddenCount,hiddenFraction,T,mode,eventGORelativeDeviation,postGORelativeDeviation,eventLORelativeDeviation,postPairRelativeDeviation,eventPairRelativeDeviation,eventInputMassRelativeDeviation,eventTurnTrackingError,postTurnTrackingError,eventFollowerLeaderError,controlEventGO,treatmentEventGO,controlPostPair,treatmentPostPair,eventGOLoss,postPairIncrease,eventActiveNeighbors,eventFreshNeighbors,meanPredictionError,p90PredictionError,recoveryTime,turnAngle
207,7,0.466666666666667,3,none,0.00236647219684482,0.00419813161917185,0.000914578473935264,0.000333234663906109,4.73807300621274e-06,0.466666666666666,0.191074250702632,0.600051268914584,0.92250506495549,0.623359293638833,0.62474921257629,0.298332136200445,0.298232721591306,-0.0013899189374572,-9.94146091391468e-05,8,8,NaN,NaN,1.2,0.075
207,7,0.466666666666667,3,hold,0.00132985657006012,0.00332216129554711,0.00102147469765348,0.000203146962968918,5.1484203735504e-06,1.53789897638242e-17,0.191318134796271,0.60007054079401,0.927604752320339,0.623359293638833,0.624032728349167,0.298332136200445,0.29827153093302,-0.000673434710334564,-6.060526742515e-05,15,8,0.0294555105492754,0.0224366778214098,1.2,0.075
207,7,0.466666666666667,3,mean,0.00163791155784382,0.00332771947908633,0.000706849983916951,0.000209657462549553,5.78129085966966e-06,1.53789897638242e-17,0.191318191866608,0.600071145239947,0.92719393607866,0.623359293638833,0.624344830684013,0.298332136200445,0.298269588641772,-0.000985537045180185,-6.25475586727731e-05,15,8,0.0296511927830697,0.0227974117066596,1.2,0.075
207,7,0.466666666666667,3,kalman,0.00163970225552812,0.003328408607689,0.000708221967939508,0.000209831572466384,5.78992337947299e-06,1.53789897638242e-17,0.191318219310331,0.600071128403682,0.927195260864934,0.623359293638833,0.624344429560471,0.298332136200445,0.298269536699189,-0.000985135921638347,-6.25995012561947e-05,15,8,0.0296511784519791,0.022797346836998,1.2,0.075
207,7,0.466666666666667,3,kalman-gm,0.00156543032702347,0.00346939025661456,0.000629870278045411,0.000199257624913175,5.58769698120934e-06,1.53789897638242e-17,0.191318127914741,0.600071115870661,0.927215428105222,0.623359293638833,0.624322797335807,0.298332136200445,0.298272691247551,-0.000963503696974255,-5.94449528945745e-05,15,8,0.0253792091166551,0.0135314953210486,1.2,0.075
207,7,0.466666666666667,6,none,0.00205372983315248,0.00525266839682438,0.00277098905022556,9.60995787598803e-05,6.31547789913667e-06,0.466666666666666,0.228688860439052,0.666611666098774,0.921835757770065,0.623915090092474,0.624892508195881,0.298159732371074,0.298138530240063,-0.000977418103407668,-2.12021310113419e-05,8,8,NaN,NaN,1.2,0.15
207,7,0.466666666666667,6,hold,0.00148425284441464,0.00336619663082659,0.00083391907138069,0.000222962262550621,1.41338932340871e-05,1.53789897638242e-17,0.228822357185605,0.666640035537716,0.92644754518315,0.623915090092474,0.624700112288802,0.298159732371074,0.298093254002543,-0.000785022196328528,-6.64783685309422e-05,15,8,0.0545572905025997,0.0340434176006212,1.2,0.15
207,7,0.466666666666667,6,mean,0.00192280609551438,0.00353964405634136,0.000805232565367949,0.000270210886346624,1.68190476110963e-05,1.53789897638242e-17,0.228822390584541,0.666640373539822,0.925891115951388,0.623915090092474,0.625097022657507,0.298159732371074,0.298079166365517,-0.00118193256503311,-8.05660055568602e-05,15,8,0.0558291491374866,0.0389077587032967,1.2,0.15
207,7,0.466666666666667,6,kalman,0.00202254431566971,0.00356308964477357,0.000836226747446119,0.000273613785685354,1.7079964533879e-05,2.30684846457363e-17,0.228822408249213,0.666640014099481,0.925777099115187,0.623915090092474,0.625158492152328,0.298159732371074,0.298078151757961,-0.00124340205985425,-8.15806131129815e-05,15,8,0.0558290999403463,0.0389077587037026,1.2,0.15
207,7,0.466666666666667,6,kalman-gm,0.00156715000619699,0.003473813604018,0.000624642757411267,0.000238655083455978,1.54049756894725e-05,3.07579795276485e-17,0.228822357753972,0.66664073323281,0.92620158210182,0.623915090092474,0.624882976317445,0.298159732371074,0.298088575035262,-0.000967886224971665,-7.11573358122308e-05,15,8,0.0483521748253293,0.0202306806229036,1.2,0.15
