seed,hiddenCount,hiddenFraction,T,mode,eventGORelativeDeviation,postGORelativeDeviation,eventLORelativeDeviation,postPairRelativeDeviation,eventPairRelativeDeviation,eventInputMassRelativeDeviation,eventTurnTrackingError,postTurnTrackingError,eventFollowerLeaderError,controlEventGO,treatmentEventGO,controlPostPair,treatmentPostPair,eventGOLoss,postPairIncrease,eventActiveNeighbors,eventFreshNeighbors,meanPredictionError,p90PredictionError,recoveryTime,turnAngle
201,7,0.466666666666667,3,hold,4.11457512626234e-05,0.00012883632520167,2.03577649864376e-05,1.11183364421884e-05,4.23733577515709e-07,4.61369692914727e-17,0.255571499575793,0.666093075693107,0.820502556989714,0.620693149044389,0.620715232190964,0.258778912046596,0.258781789237605,-2.20831465748472e-05,2.87719100827755e-06,15,8,0.0122989653672844,0.0244488432553425,1.2,0.075
202,7,0.466666666666667,3,hold,0.00285482502923574,0.00559096223603711,0.000345889034609615,3.90632278507782e-05,2.49041919318357e-06,6.15159590552969e-17,0.95491044597718,1.09262008500853,1.4045284795213,0.17626288281515,0.176443438035936,0.249674859863663,0.249684612969602,-0.000180555220786383,9.75310593946538e-06,15,8,0.0457056686934619,0.0454603194165779,1.2,0.075
203,7,0.466666666666667,3,hold,2.95804863552035e-05,0.000127568045400088,3.74686895586506e-05,2.73052989985033e-05,1.73748360948598e-07,6.15159590552969e-17,1.13017696543388,1.84023015775157,0.570161208971131,0.694313455999715,0.694315706605089,0.261111678473756,0.261118808206209,-2.25060537333288e-06,7.12973245272697e-06,15,8,0.014755509899805,0.028405554729936,1.2,0.075
204,7,0.466666666666667,3,hold,0.00202901874774236,0.00266949464661239,0.000824467977111642,6.47688233001553e-05,1.78068380086601e-06,6.15159590552969e-17,0.299825786497838,0.216240768336093,0.864082438992799,0.533801005851824,0.533258871208109,0.240096863138432,0.240082063083467,0.000542134643714731,-1.48000549647148e-05,15,8,0.0213320773142403,0.0435389470586753,1.2,0.075
205,7,0.466666666666667,3,hold,0.00438953108561951,0.00232260721094521,0.00185001985717261,8.21368275889416e-05,5.95974042883274e-06,6.15159590552969e-17,1.80254143335405,2.13758348204314,1.42385051217372,0.136995243919555,0.136588229432845,0.296450525700453,0.296474875206171,0.000407014486709356,2.43495057181092e-05,15,8,0.020659476085105,0.0365099319563189,1.2,0.075
206,7,0.466666666666667,3,hold,9.58768553312917e-05,6.36831279913121e-06,4.99687753601843e-05,2.30926192868021e-06,4.37349190280205e-07,6.15159590552969e-17,0.0484647826321708,0.460964782862448,0.681555502537849,0.72361969022792,0.723569589686498,0.302162977540476,0.302163675313936,5.01005414219824e-05,6.97773460290874e-07,15,8,0.0107391652207868,0.0222518955294095,1.2,0.075
207,7,0.466666666666667,3,hold,0.00132985657006012,0.00332216129554711,0.00102147469765348,0.000203146962968918,5.1484203735504e-06,1.53789897638242e-17,0.191318134796271,0.60007054079401,0.927604752320339,0.623359293638833,0.624032728349167,0.298332136200445,0.29827153093302,-0.000673434710334564,-6.060526742515e-05,15,8,0.0294555105492754,0.0224366778214098,1.2,0.075
208,7,0.466666666666667,3,hold,0.00012232532978355,0.000193961419953351,9.58181898488601e-05,3.56521909804767e-05,1.02700163636711e-06,4.61369692914727e-17,0.150108552446988,0.308878482375973,0.808177585956529,0.644415252193399,0.644336728097673,0.190835332843205,0.190842136540938,7.8524095725685e-05,6.80369773234879e-06,15,8,0.0220837061150689,0.0388158283277086,1.2,0.075
209,7,0.466666666666667,3,hold,0.000110746525203107,3.44455088654704e-06,9.04592874531363e-05,4.4855550975686e-07,1.10837362814064e-07,0,0.206874462219963,0.617661228868629,1.499634994379,0.45309531219948,0.453045133468068,0.315831528002895,0.315831386334923,5.01787314119095e-05,-1.41667972040627e-07,15,8,0.0226070095010233,0.0262753627653636,1.2,0.075
210,7,0.466666666666667,3,hold,0.000888833198601157,0.00100809300087879,0.00129557405080653,0.00055246282081801,3.23251273523168e-05,7.68949488191212e-17,0.0986622395456459,0.457767171657186,0.505162777439297,0.917012090141554,0.916197019352318,0.128586127536565,0.128657166591302,0.00081507078923645,7.10390547369152e-05,15,8,0.0816419349747489,0.0885637002951161,1.2,0.075
211,7,0.466666666666667,3,hold,0.000527712519843735,0.00456320790554518,0.000628382960030502,8.62178760921284e-05,1.87841595052362e-06,7.68949488191212e-17,0.0530240530280262,0.246765794321936,1.04199374351704,0.525657698099271,0.525575861551927,0.223211936444947,0.223195008639473,8.1836547344083e-05,-1.69278054746277e-05,15,8,0.019884196573999,0.0427683797650307,1.2,0.075
212,7,0.466666666666667,3,hold,0.000426400506113166,0.00161299985528304,0.000218828099550856,2.88798965339292e-05,7.79321309036762e-07,3.07579795276485e-17,1.47637291797929,1.66565920005171,1.28407079345469,0.259447564694493,0.259382086290194,0.272627447831763,0.272620191790959,6.54784042985856e-05,-7.25604080410669e-06,15,8,0.0159265349555926,0.0207713360745703,1.2,0.075
213,7,0.466666666666667,3,hold,0.000186125418634893,9.58696817941868e-05,0.0001467925400878,4.29578400646336e-05,2.90703028637048e-06,0,0.475914813392325,0.826903561385508,0.426717647846891,0.877901008849271,0.877758321993271,0.100411852506158,0.100416165982459,0.000142686856000074,4.31347630055312e-06,15,8,0.0256114510201603,0.055686091137348,1.2,0.075
214,7,0.466666666666667,3,hold,0.000198339159108789,0.000465226517299487,0.000332659597568545,0.000181594629877524,3.50436641714708e-06,9.22739385829454e-17,0.346643948147327,0.803694719302048,0.795447798617649,0.681762959680289,0.681695324544553,0.165529707108047,0.165559766413943,6.76351357366878e-05,3.00593058960208e-05,15,8,0.018629746620214,0.0383812778266339,1.2,0.075
215,7,0.466666666666667,3,hold,3.62228903939273e-06,2.57915680437898e-06,6.11409197570559e-06,6.14237022787399e-07,3.93371463277529e-08,4.61369692914727e-17,0.367674556268778,0.814410778647336,0.803443631752083,0.671851603400335,0.671849169759636,0.265000055317202,0.264999892544357,2.43364069909546e-06,-1.62772845016534e-07,15,8,0.0148821670291191,0.0266761434129261,1.2,0.075
